Date,USD,EUR
1981-08-27,411.8,353.7
1981-08-28,425.0,362.5
1981-08-31,425.0,362.5
1981-09-01,421.5,359.9
1981-09-02,430.0,364.8
1981-09-03,436.5,368.7
1981-09-04,439.5,369.8
1981-09-07,436.5,368.7
1981-09-08,439.0,372.0
1981-09-09,436.8,369.7
1981-09-10,451.5,378.6
1981-09-11,448.3,376.0
1981-09-14,451.3,377.3
1981-09-15,456.0,373.3
1981-09-16,449.0,363.5
1981-09-17,459.0,367.1
1981-09-18,447.0,356.8
1981-09-21,463.5,363.0
1981-09-22,462.0,368.3
1981-09-23,456.5,367.5
1981-09-24,446.3,362.9
1981-09-25,450.5,367.6
1981-09-28,421.5,344.7
1981-09-29,431.8,350.2
1981-09-30,428.8,349.9
1981-10-01,436.8,356.5
1981-10-02,435.0,352.3
1981-10-05,441.3,354.3
1981-10-06,443.0,356.7
1981-10-07,445.5,357.1
1981-10-08,443.3,354.4
1981-10-09,453.5,364.0
1981-10-12,449.5,355.7
1981-10-13,443.3,354.1
1981-10-14,444.3,357.1
1981-10-15,446.7,359.8
1981-10-16,443.8,356.6
1981-10-19,436.7,352.6
1981-10-20,437.3,353.7
1981-10-21,429.0,352.0
1981-10-22,433.8,357.1
1981-10-23,432.5,355.1
1981-10-26,426.0,354.8
1981-10-27,427.4,355.3
1981-10-28,430.8,356.2
1981-10-29,424.5,348.7
1981-10-30,427.0,347.0
1981-11-02,430.0,345.8
1981-11-03,428.3,344.5
1981-11-04,431.3,345.9
1981-11-05,428.5,345.7
1981-11-06,428.3,346.2
1981-11-09,429.8,343.5
1981-11-10,418.5,338.3
1981-11-11,412.0,331.3
1981-11-12,411.5,330.6
1981-11-13,412.5,332.1
1981-11-16,404.3,327.5
1981-11-17,398.8,324.6
1981-11-18,403.8,327.0
1981-11-19,401.0,325.3
1981-11-20,401.5,327.8
1981-11-23,396.8,323.4
1981-11-24,399.3,323.0
1981-11-25,409.5,331.2
1981-11-26,409.5,330.5
1981-11-27,411.5,331.1
1981-11-30,414.5,332.9
1981-12-01,402.5,325.7
1981-12-02,406.8,327.6
1981-12-03,416.5,337.4
1981-12-04,426.0,343.9
1981-12-07,416.8,338.2
1981-12-08,415.3,338.4
1981-12-09,410.3,333.0
1981-12-10,405.5,332.1
1981-12-11,409.8,336.7
1981-12-14,417.5,346.1
1981-12-15,413.3,338.9
1981-12-16,416.8,341.8
1981-12-17,416.3,341.4
1981-12-18,415.8,341.0
1981-12-21,410.5,339.2
1981-12-22,399.6,330.2
1981-12-23,400.4,330.9
1981-12-24,400.4,329.9
1981-12-25,400.4,329.9
1981-12-28,400.4,329.9
1981-12-29,395.0,325.4
1981-12-30,397.5,327.5
1981-12-31,397.5,327.5
1982-01-01,397.5,327.5
1982-01-04,395.0,321.3
1982-01-05,403.5,328.3
1982-01-06,401.5,326.6
1982-01-07,396.5,322.6
1982-01-08,400.3,325.6
1982-01-11,388.3,321.8
1982-01-12,389.0,322.4
1982-01-13,380.0,315.0
1982-01-14,374.8,310.6
1982-01-15,379.3,314.3
1982-01-18,373.8,312.4
1982-01-19,375.3,313.6
1982-01-20,371.5,310.5
1982-01-21,376.0,314.3
1982-01-22,377.3,315.3
1982-01-25,372.0,315.2
1982-01-26,376.5,319.0
1982-01-27,381.8,323.5
1982-01-28,383.5,325.0
1982-01-29,387.0,327.9
1982-02-01,379.5,322.9
1982-02-02,379.2,322.6
1982-02-03,378.0,321.6
1982-02-04,383.8,326.5
1982-02-05,384.3,327.0
1982-02-08,379.8,324.3
1982-02-09,378.5,323.2
1982-02-10,382.2,326.3
1982-02-11,380.0,324.5
1982-02-12,377.5,322.3
1982-02-15,375.3,325.5
1982-02-16,375.3,325.5
1982-02-17,374.0,324.4
1982-02-18,369.3,320.2
1982-02-19,369.3,320.2
1982-02-22,364.3,310.3
1982-02-23,361.0,307.6
1982-02-24,362.8,309.0
1982-02-25,366.5,312.2
1982-02-26,362.6,308.9
1982-03-01,361.3,315.2
1982-03-02,361.3,315.2
1982-03-03,353.8,308.6
1982-03-04,346.5,302.3
1982-03-05,342.4,298.7
1982-03-08,330.5,283.9
1982-03-09,329.3,282.8
1982-03-10,333.0,286.1
1982-03-11,331.8,285.0
1982-03-12,323.3,277.7
1982-03-15,312.0,271.9
1982-03-16,324.5,282.8
1982-03-17,316.0,275.3
1982-03-18,320.0,278.8
1982-03-19,315.8,275.1
1982-03-22,320.8,284.2
1982-03-23,329.3,291.7
1982-03-24,331.8,293.9
1982-03-25,327.8,290.3
1982-03-26,322.3,285.5
1982-03-29,318.5,284.4
1982-03-30,324.3,289.5
1982-03-31,320.0,285.7
1982-04-01,327.0,292.0
1982-04-02,327.8,292.6
1982-04-05,337.5,301.8
1982-04-06,345.5,308.9
1982-04-07,354.0,316.5
1982-04-08,351.5,315.8
1982-04-09,351.5,315.8
1982-04-12,351.5,315.8
1982-04-13,353.5,317.6
1982-04-14,366.8,329.5
1982-04-15,363.3,326.3
1982-04-16,362.8,325.9
1982-04-19,357.0,320.0
1982-04-20,343.0,307.5
1982-04-21,346.8,310.8
1982-04-22,345.0,309.3
1982-04-23,352.3,315.8
1982-04-26,357.0,315.1
1982-04-27,351.8,310.4
1982-04-28,354.5,312.9
1982-04-29,348.8,307.8
1982-04-30,361.3,318.8
1982-05-03,361.3,318.8
1982-05-04,341.8,301.6
1982-05-05,338.4,298.6
1982-05-06,334.5,295.2
1982-05-07,334.8,295.4
1982-05-10,329.0,280.9
1982-05-11,332.3,283.7
1982-05-12,331.5,283.0
1982-05-13,331.0,282.6
1982-05-14,333.3,284.5
1982-05-17,338.5,290.3
1982-05-18,338.0,289.9
1982-05-19,342.0,293.3
1982-05-20,342.5,293.7
1982-05-21,338.5,290.3
1982-05-24,329.0,283.0
1982-05-25,327.9,282.0
1982-05-26,330.3,284.1
1982-05-27,324.3,278.9
1982-05-28,325.3,284.8
1982-05-31,325.3,284.8
1982-06-01,318.8,279.1
1982-06-02,318.5,278.9
1982-06-03,320.4,280.5
1982-06-04,318.8,279.1
1982-06-07,325.3,288.6
1982-06-08,328.8,291.7
1982-06-09,326.0,289.3
1982-06-10,326.8,289.9
1982-06-11,325.3,288.6
1982-06-14,320.8,295.2
1982-06-15,315.0,289.9
1982-06-16,317.0,291.7
1982-06-17,309.0,284.4
1982-06-18,308.8,284.1
1982-06-21,296.8,280.2
1982-06-22,304.0,287.0
1982-06-23,304.0,287.0
1982-06-24,310.3,292.9
1982-06-25,305.5,288.5
1982-06-28,303.8,288.0
1982-06-29,309.0,293.0
1982-06-30,317.5,301.0
1982-07-01,310.3,294.2
1982-07-02,312.8,296.5
1982-07-05,315.3,297.7
1982-07-06,311.0,293.7
1982-07-07,306.8,289.7
1982-07-08,313.5,296.0
1982-07-09,328.5,310.2
1982-07-12,343.0,322.1
1982-07-13,352.5,331.0
1982-07-14,352.8,331.2
1982-07-15,350.3,328.9
1982-07-16,347.0,325.8
1982-07-19,347.5,326.2
1982-07-20,347.8,326.4
1982-07-21,366.5,344.0
1982-07-22,353.0,331.4
1982-07-23,363.3,341.0
