Date,USD,EUR
08/04/81,508.5,375.3
09/04/81,503.0,374.2
10/04/81,493.5,368.1
13/04/81,473.8,356.6
14/04/81,483.0,362.5
15/04/81,476.3,360.6
16/04/81,482.5,365.6
17/04/81,482.5,365.6
20/04/81,482.5,365.6
21/04/81,481.0,364.9
22/04/81,501.0,376.2
23/04/81,488.5,367.7
24/04/81,494.5,374.3
27/04/81,483.0,365.6
28/04/81,482.8,366.3
29/04/81,477.3,365.8
30/04/81,482.8,369.7
01/05/81,487.5,373.1
04/05/81,487.5,373.1
05/05/81,476.3,374.6
06/05/81,482.0,377.1
07/05/81,477.8,375.5
08/05/81,485.8,379.2
11/05/81,493.0,390.8
12/05/81,484.0,385.6
13/05/81,484.3,385.7
14/05/81,476.5,382.3
15/05/81,485.0,389.0
18/05/81,481.8,384.7
19/05/81,481.5,385.3
20/05/81,479.8,382.6
21/05/81,475.0,382.3
22/05/81,472.8,380.1
25/05/81,472.8,380.1
26/05/81,466.5,376.1
27/05/81,466.8,377.8
28/05/81,479.0,385.3
29/05/81,479.3,386.1
01/06/81,483.3,389.7
02/06/81,474.0,387.2
03/06/81,475.5,387.8
04/06/81,462.5,385.8
05/06/81,460.0,384.5
08/06/81,473.5,394.1
09/06/81,460.5,383.0
10/06/81,465.3,382.0
11/06/81,464.3,385.8
12/06/81,472.0,391.8
15/06/81,471.8,384.4
16/06/81,461.5,375.7
17/06/81,461.8,375.4
18/06/81,459.0,376.8
19/06/81,458.3,377.8
22/06/81,462.0,378.4
23/06/81,466.5,381.5
24/06/81,462.0,380.0
25/06/81,446.5,370.0
26/06/81,442.0,365.3
29/06/81,428.8,355.1
30/06/81,426.0,353.4
01/07/81,422.0,352.3
02/07/81,414.5,346.5
03/07/81,414.0,346.3
06/07/81,403.8,341.7
07/07/81,405.0,341.9
08/07/81,397.8,339.5
09/07/81,406.3,346.5
10/07/81,416.5,352.2
13/07/81,413.0,346.9
14/07/81,402.3,340.9
15/07/81,412.3,344.8
16/07/81,418.3,349.2
17/07/81,415.0,348.4
20/07/81,412.5,349.1
21/07/81,406.0,346.5
22/07/81,411.5,347.8
23/07/81,407.8,344.7
24/07/81,407.5,344.9
27/07/81,408.8,345.1
28/07/81,401.5,339.9
29/07/81,401.5,341.0
30/07/81,402.3,342.1
31/07/81,406.0,346.9
03/08/81,392.5,341.7
04/08/81,391.3,341.7
05/08/81,392.4,340.5
06/08/81,393.3,342.6
07/08/81,397.3,348.0
10/08/81,393.8,349.6
11/08/81,401.0,355.4
12/08/81,417.5,361.6
13/08/81,407.3,355.2
14/08/81,413.0,361.9
17/08/81,411.5,356.5
18/08/81,420.0,362.3
19/08/81,431.5,373.4
20/08/81,429.0,368.3
21/08/81,429.5,365.9
24/08/81,422.0,361.4
25/08/81,409.8,356.0
26/08/81,414.0,355.5
27/08/81,411.8,353.7
28/08/81,425.0,362.5
31/08/81,425.0,362.5
01/09/81,421.5,359.9
02/09/81,430.0,364.8
03/09/81,436.5,368.7
04/09/81,439.5,369.8
07/09/81,436.5,368.7
08/09/81,439.0,372.0
09/09/81,436.8,369.7
10/09/81,451.5,378.6
11/09/81,448.3,376.0
14/09/81,451.3,377.3
15/09/81,456.0,373.3
16/09/81,449.0,363.5
17/09/81,459.0,367.1
18/09/81,447.0,356.8
21/09/81,463.5,363.0
22/09/81,462.0,368.3
23/09/81,456.5,367.5
24/09/81,446.3,362.9
25/09/81,450.5,367.6
28/09/81,421.5,344.7
29/09/81,431.8,350.2
30/09/81,428.8,349.9
01/10/81,436.8,356.5
02/10/81,435.0,352.3
05/10/81,441.3,354.3
06/10/81,443.0,356.7
07/10/81,445.5,357.1
08/10/81,443.3,354.4
09/10/81,453.5,364.0
12/10/81,449.5,355.7
13/10/81,443.3,354.1
14/10/81,444.3,357.1
15/10/81,446.7,359.8
16/10/81,443.8,356.6
19/10/81,436.7,352.6
20/10/81,437.3,353.7
21/10/81,429.0,352.0
22/10/81,433.8,357.1
23/10/81,432.5,355.1
26/10/81,426.0,354.8
27/10/81,427.4,355.3
28/10/81,430.8,356.2
29/10/81,424.5,348.7
30/10/81,427.0,347.0
02/11/81,430.0,345.8
03/11/81,428.3,344.5
04/11/81,431.3,345.9
05/11/81,428.5,345.7
06/11/81,428.3,346.2
09/11/81,429.8,343.5
10/11/81,418.5,338.3
11/11/81,412.0,331.3
12/11/81,411.5,330.6
13/11/81,412.5,332.1
16/11/81,404.3,327.5
17/11/81,398.8,324.6
18/11/81,403.8,327.0
19/11/81,401.0,325.3
20/11/81,401.5,327.8
23/11/81,396.8,323.4
24/11/81,399.3,323.0
25/11/81,409.5,331.2
26/11/81,409.5,330.5
27/11/81,411.5,331.1
30/11/81,414.5,332.9
01/12/81,402.5,325.7
02/12/81,406.8,327.6
03/12/81,416.5,337.4
04/12/81,426.0,343.9
07/12/81,416.8,338.2
08/12/81,415.3,338.4
09/12/81,410.3,333.0
10/12/81,405.5,332.1
11/12/81,409.8,336.7
14/12/81,417.5,346.1
15/12/81,413.3,338.9
16/12/81,416.8,341.8
17/12/81,416.3,341.4
18/12/81,415.8,341.0
21/12/81,410.5,339.2
22/12/81,399.6,330.2
23/12/81,400.4,330.9
24/12/81,400.4,329.9
25/12/81,400.4,329.9
28/12/81,400.4,329.9
29/12/81,395.0,325.4
30/12/81,397.5,327.5
31/12/81,397.5,327.5
01/01/82,397.5,327.5
04/01/82,395.0,321.3
05/01/82,403.5,328.3
06/01/82,401.5,326.6
07/01/82,396.5,322.6
08/01/82,400.3,325.6
11/01/82,388.3,321.8
12/01/82,389.0,322.4
13/01/82,380.0,315.0
14/01/82,374.8,310.6
15/01/82,379.3,314.3
18/01/82,373.8,312.4
19/01/82,375.3,313.6
20/01/82,371.5,310.5
21/01/82,376.0,314.3
22/01/82,377.3,315.3
25/01/82,372.0,315.2
26/01/82,376.5,319.0
27/01/82,381.8,323.5
28/01/82,383.5,325.0
29/01/82,387.0,327.9
01/02/82,379.5,322.9
02/02/82,379.2,322.6
03/02/82,378.0,321.6
04/02/82,383.8,326.5
05/02/82,384.3,327.0
08/02/82,379.8,324.3
09/02/82,378.5,323.2
10/02/82,382.2,326.3
11/02/82,380.0,324.5
12/02/82,377.5,322.3
15/02/82,375.3,325.5
16/02/82,375.3,325.5
17/02/82,374.0,324.4
