Date_Hour,Forward_Jitter_PRI,Backward_Jitter_PRI,Roundtrip_Latency_PRI,Forward_Percent_Pkt_Loss_PRI,Backward_Percent_Pkt_Loss_PRI,Forward_Jitter_SEC,Backward_Jitter_SEC,Roundtrip_Latency_SEC,Forward_Percent_Pkt_Loss_SEC,Backward_Percent_Pkt_Loss_SEC
03/06/2025 21:00,19.90,1.00,22.93,0,0,21.14,1.00,27.16,0,0
03/06/2025 22:00,19.36,1.00,24.35,0,0,19.22,1.01,24.59,0,0
03/06/2025 23:00,18.77,1.00,23.00,0,0,18.24,0.99,24.34,0,0
03/07/2025 00:00,17.98,1.00,22.80,0,0,22.68,1.00,26.28,0,0
03/07/2025 01:00,19.90,1.00,24.13,0,0,17.56,1.00,25.84,0,0
03/07/2025 02:00,19.01,1.00,23.17,0,0,20.75,1.00,26.74,0,0
03/07/2025 03:00,19.07,1.00,21.71,0,0,16.90,1.00,26.10,0,0
03/07/2025 04:00,16.14,1.00,22.61,0,0,27.25,0.99,29.92,0,0
03/07/2025 05:00,15.19,0.99,22.45,0,0,20.72,1.02,27.76,0,0
03/07/2025 06:00,14.64,1.00,21.81,0,0,17.03,1.00,28.42,0,0
03/07/2025 07:00,15.23,1.00,22.09,0.08,0,24.61,1.00,28.41,0,0
03/07/2025 08:00,14.52,1.00,23.18,0,0,19.93,1.00,25.35,0,0
03/07/2025 09:00,18.77,1.00,30.14,0.33,0,17.90,1.00,24.57,0,0
03/07/2025 10:00,16.17,1.00,27.42,0.17,0,17.86,1.00,25.11,0,0
03/07/2025 11:00,14.66,1.01,26.46,0.08,0,22.51,1.00,25.62,0,0
03/07/2025 12:00,16.01,1.00,28.47,1.33,0,20.73,0.99,26.46,0,0
03/07/2025 13:00,16.54,1.00,25.03,0,0,26.45,0.99,26.48,0,0
03/07/2025 14:00,12.10,1.00,23.75,0,0,21.33,1.00,25.68,0,0
03/07/2025 15:00,15.14,1.00,23.16,0,0,19.89,1.00,25.37,0,0
03/07/2025 16:00,18.42,1.00,24.30,0,0,21.32,1.00,25.44,0,0
03/07/2025 17:00,22.95,1.00,24.76,0,0,16.89,1.00,24.88,0,0
03/07/2025 18:00,24.11,1.01,24.23,0,0,16.77,1.00,25.56,0,0
03/07/2025 19:00,19.27,1.00,22.94,0,0,19.21,0.99,27.09,0,0
03/07/2025 20:00,23.50,0.99,24.88,0,0,12.46,1.01,24.75,0,0
03/07/2025 21:00,17.63,1.00,23.42,0,0,17.96,0.99,25.28,0,0
03/07/2025 22:00,24.73,0.99,24.14,0,0,14.99,1.01,24.40,0,0
03/07/2025 23:00,17.75,1.01,22.80,0,0,16.10,0.99,24.28,0,0
03/08/2025 00:00,23.06,0.99,23.84,0,0,25.25,1.01,27.75,0,0
03/08/2025 01:00,16.68,1.00,24.68,0,0,23.05,1.00,29.18,0,0
03/08/2025 02:00,20.80,0.99,22.87,0,0,20.70,1.01,26.53,0,0
03/08/2025 03:00,20.92,1.00,23.67,0,0,18.31,1.00,25.62,0,0
03/08/2025 04:00,20.89,1.00,24.04,0,0,21.83,1.00,26.56,0,0
03/08/2025 05:00,15.34,1.00,23.19,0,0,18.15,1.00,25.50,0,0
03/08/2025 06:00,16.44,1.01,23.02,0,0,23.53,1.00,25.59,0,0
03/08/2025 07:00,19.38,1.00,25.11,0,0,23.95,1.00,26.02,0,0
03/08/2025 08:00,20.64,1.00,23.64,0,0,21.03,1.00,26.32,0,0
03/08/2025 09:00,20.53,1.00,24.40,0,0,20.92,0.99,25.49,0,0
03/08/2025 10:00,15.68,1.00,22.30,0,0,18.46,1.00,26.84,0,0
03/08/2025 11:00,18.64,1.00,23.53,0,0,19.48,1.00,25.84,0,0
