Date,ACWI
2001-09-17,77.85282176711335
2001-09-18,77.36104671339635
2001-09-19,76.00442544549931
2001-09-20,73.84174088534519
2001-09-21,72.7960271802715
2001-09-24,75.49905853203447
2001-09-25,75.66904633321876
2001-09-26,75.83176537022307
2001-09-27,76.5356927511926
2001-09-28,78.99385138520836
2001-10-01,78.21954265293594
2001-10-02,78.99273403757145
2001-10-03,79.44536944305574
2001-10-04,80.8440163577815
2001-10-05,80.46858401069862
2001-10-08,80.0653100309963
2001-10-09,79.68468034376563
2001-10-10,81.58550294789316
2001-10-11,83.51320924120309
2001-10-12,83.04680616461759
2001-10-15,82.3120324823099
2001-10-16,82.8004687968303
2001-10-17,82.79631843783085
2001-10-18,82.11159013525707
2001-10-19,82.30359110030332
2001-10-22,83.69364939753076
2001-10-23,84.47750512276839
