Date,WORLD
2013-07-04,148.52096250984332
2013-07-05,149.52389929836147
2013-07-08,150.06390836198418
2013-07-09,152.12090412433204
2013-07-10,151.78105179904884
2013-07-11,152.02180785689364
2013-07-12,152.04225315000562
2013-07-15,152.37966849097123
2013-07-16,151.29484627364053
2013-07-17,152.10068824924588
2013-07-18,152.9138912630425
2013-07-19,152.59845687763456
2013-07-22,152.68813054591402
2013-07-23,152.31824187137093
2013-07-24,151.97296616336828
2013-07-25,151.92019650497264
2013-07-26,151.43717435202075
2013-07-29,150.83328593592452
2013-07-30,151.0138405447606
2013-07-31,150.47368001182923
2013-08-01,152.6947611151787
2013-08-02,153.01899297003345
2013-08-05,153.18658838317654
2013-08-06,152.1489440759477
2013-08-07,151.22239505132836
2013-08-08,151.3268368237218
2013-08-09,151.63428111181688
2013-08-12,152.01562682419393
2013-08-13,152.99872673299708
2013-08-14,152.6932868592112
2013-08-15,150.98689993493318
2013-08-16,150.13471594170804
2013-08-19,149.22372595232653
2013-08-20,148.3099536173912
2013-08-21,147.800440203943
2013-08-22,148.96678977615824
2013-08-23,149.3862745430292
2013-08-26,149.31409668609052
2013-08-27,147.12373660354191
2013-08-28,147.29463180361734
2013-08-29,148.70551645217878
2013-08-30,148.30395625431294
2013-09-02,149.14274434107628
2013-09-03,149.99881412089917
2013-09-04,150.59084113980344
2013-09-05,151.6311379236311
2013-09-06,151.6759661129218
2013-09-09,151.95284253945886
2013-09-10,153.12438106802344
2013-09-11,153.3947308866309
2013-09-12,153.05265116773384
2013-09-13,153.69900070113988
2013-09-16,153.9049705184917
2013-09-17,154.0182669413008
2013-09-18,155.45622229991363
2013-09-19,154.37068485812185
2013-09-20,153.77743773548755
2013-09-23,153.4485914416564
2013-09-24,153.23426143802433
2013-09-25,152.893137282508
2013-09-26,153.5919863181441
2013-09-27,152.74241518788023
2013-09-30,151.68897836860978
2013-10-01,152.7868207659352
2013-10-02,151.82449134282905
2013-10-03,150.65404675960588
2013-10-04,151.42726954335308
2013-10-07,150.60693826355592
2013-10-08,149.0486151157445
2013-10-09,149.6144865335365
2013-10-10,152.13012728390538
2013-10-11,152.80360648109624
2013-10-14,153.07056923122704
2013-10-15,153.5541890910873
2013-10-16,154.89587609035746
2013-10-17,154.53042849277037
2013-10-18,155.29416962823169
2013-10-21,155.6776510914616
2013-10-22,155.643701812184
2013-10-23,154.67521492018665
2013-10-24,155.04604217106933
2013-10-25,155.15754746974775
2013-10-28,155.47222454812157
2013-10-29,156.05484999297556
2013-10-30,155.805573235348
2013-10-31,156.94833817469586
2013-11-01,157.70569341326032
2013-11-04,158.02615957687865
2013-11-05,158.02296636468037
2013-11-06,158.27623317640195
2013-11-07,158.11186339034455
2013-11-08,159.30270932809506
2013-11-11,159.06979115190043
2013-11-12,158.49281478025566
2013-11-13,159.22696840150388
2013-11-14,159.71827755002087
2013-11-15,160.38978544852378
2013-11-18,159.93026871553155
2013-11-19,159.31360241185342
2013-11-20,159.5573121035131
2013-11-21,160.08254782072422
2013-11-22,160.01606652615544
2013-11-25,160.28516054743346
2013-11-26,159.47931124133274
2013-11-27,159.61751939602172
2013-11-28,159.72472110062978
2013-11-29,159.49704624300014
2013-12-02,159.5003870843138
2013-12-03,158.35547751199243
2013-12-04,157.89795859915293
2013-12-05,156.17199484544884
2013-12-06,157.20714728141607
2013-12-09,157.2891186118013
2013-12-10,156.36967563608277
2013-12-11,154.79957567558765
2013-12-12,154.12741457848426
2013-12-13,154.28875414610835
2013-12-16,155.05318384151693
2013-12-17,154.7914899103969
2013-12-18,156.46775824954122
2013-12-19,158.006985645178
2013-12-20,158.79178043895402
2013-12-23,159.42841630471787
2013-12-24,160.12758304490683
2013-12-25,160.13514730309174
2013-12-26,160.4855620084962
2013-12-27,160.27755909662272
2013-12-30,160.047631219862
2013-12-31,160.93349621134797
2014-01-01,160.9360026802622
2014-01-02,160.82152854920324
2014-01-03,161.4396920284241
2014-01-06,160.61867028611402
2014-01-07,161.6812590620012
2014-01-08,162.01837272154285
2014-01-09,161.8240645029942
2014-01-10,161.65386081700376
2014-01-13,160.9309381427101
2014-01-14,161.1493834242503
2014-01-15,163.0740386928526
2014-01-16,162.92616633752345
2014-01-17,163.25748219064678
2014-01-20,163.16524460099978
2014-01-21,163.63088026897168
2014-01-22,163.62364153900705
2014-01-23,161.13821096174152
2014-01-24,157.94782698135657
2014-01-27,156.77782091803638
2014-01-28,157.51590163017556
2014-01-29,157.00964761851156
2014-01-30,158.32679421586002
2014-01-31,158.35135785704247
2014-02-03,155.34254084343817
2014-02-04,155.24084197738273
2014-02-05,155.2517621642219
2014-02-06,156.51286329656224
2014-02-07,158.17082913645334
2014-02-10,158.32585556070458
2014-02-11,159.7247248749351
2014-02-12,161.13077096435697
2014-02-13,160.76085074865983
2014-02-14,161.2087849583152
2014-02-17,161.3644457335908
2014-02-18,161.48617387194042
2014-02-19,160.95712276873917
2014-02-20,161.5441922113743
2014-02-21,161.54538756793897
2014-02-24,162.6019758226555
2014-02-25,162.63101055104448
2014-02-26,162.99820149085448
2014-02-27,163.2078142043832
2014-02-28,162.35383243187783
2014-03-03,160.87689562561903
2014-03-04,163.42648584739013
2014-03-05,163.61363259443604
2014-03-06,163.14066016109973
2014-03-07,162.41351737124054
2014-03-10,161.7650583754744
2014-03-11,161.50171583877326
2014-03-12,160.48020247628534
2014-03-13,158.89562943673977
2014-03-14,157.91147456294217
2014-03-17,159.12784104417025
2014-03-18,160.40320079380848
2014-03-19,159.73440469454587
2014-03-20,160.83835387513528
2014-03-21,160.77360071979493
2014-03-24,160.0504394958533
2014-03-25,161.07266555159612
2014-03-26,160.86369474104333
2014-03-27,161.40406157639475
2014-03-28,162.10807876337142
2014-03-31,162.93091227301375
2014-04-01,163.75321648789722
2014-04-02,164.4545629181213
2014-04-03,164.85406492407586
2014-04-04,164.27885917542153
2014-04-07,162.04756276003786
2014-04-08,161.8881293978538
2014-04-09,162.67538250641155
2014-04-10,160.1650274604756
2014-04-11,158.39362438090336
2014-04-14,159.82959572371956
2014-04-15,159.96440425002197
2014-04-16,161.94314473016223
2014-04-17,162.09432834512955
2014-04-18,162.1705766569577
2014-04-21,162.71679769841393
2014-04-22,163.75221942894413
2014-04-23,163.12550370970152
2014-04-24,163.43513890040515
2014-04-25,162.22802662003338
2014-04-28,162.3426299178578
2014-04-29,163.6180612166179
2014-04-30,163.61512257563115
2014-05-01,163.8764845256656
2014-05-02,163.77353955582223
2014-05-05,163.73239922021716
2014-05-06,162.49248839829647
2014-05-07,162.72400421233607
2014-05-08,163.72322079827413
2014-05-09,164.68485074750396
2014-05-12,165.86682625685836
2014-05-13,166.79322180727286
2014-05-14,166.51663845437392
2014-05-15,165.2405015361912
2014-05-16,165.5446932743414
2014-05-19,165.60672377756606
2014-05-20,165.14063016084452
2014-05-21,166.38432111611786
2014-05-22,167.0729073071784
2014-05-23,167.94094561919482
2014-05-26,168.21814127074077
2014-05-27,169.1249045574574
2014-05-28,169.20816636611733
2014-05-29,169.70280659468162
2014-05-30,169.5240098456791
2014-06-02,170.22512112693576
2014-06-03,169.9244969466001
2014-06-04,170.12931737188518
2014-06-05,170.99610993854128
2014-06-06,171.58772395556338
2014-06-09,172.32267970517523
2014-06-10,172.86457132812632
2014-06-11,172.6473849942263
2014-06-12,171.8618429789365
2014-06-13,172.32748872373116
2014-06-16,171.7735560635895
2014-06-17,172.2868827785192
2014-06-18,172.84264976389213
2014-06-19,173.14436578585216
2014-06-20,173.76928029799896
2014-06-23,173.44458178790723
2014-06-24,172.55950976263188
2014-06-25,172.14173415516572
2014-06-26,172.6437436056548
2014-06-27,172.36370037485187
2014-06-30,171.97691498165162
2014-07-01,173.26171857722522
2014-07-02,173.80439956358137
2014-07-03,175.08601418864703
2014-07-04,175.28981379337765
2014-07-07,174.34712862912076
2014-07-08,172.82940152522724
2014-07-09,172.94001711335892
2014-07-10,172.29551577086988
2014-07-11,172.47833964681973
2014-07-14,173.21818756453345
2014-07-15,173.3950976441437
2014-07-16,174.84578562681037
2014-07-17,173.43897994308065
2014-07-18,174.46911602170016
2014-07-21,173.91127037711854
2014-07-22,175.66870811484463
2014-07-23,176.0636346029731
2014-07-24,176.20863330522798
2014-07-25,175.87503297937877
2014-07-28,175.79045360001203
2014-07-29,175.7635313538902
2014-07-30,175.7995278633772
2014-07-31,173.17217371688264
2014-08-01,171.67697980565845
